,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
5247,48,2006-06-28,Who Killed the Electric Car?,1000000,1678874,,,
5248,49,2009-09-18,The Secrets of Jonathan Sperry,1000000,1355079,,,
5249,50,1996-07-17,Walking and Talking,1000000,1287480,,,
5250,51,2003-09-19,Bubba Ho-Tep,1000000,1239183,,,
5251,52,2001-12-07,No Man's Land,1000000,1067481,Western,tt10449052,
5252,53,1998-10-09,Slam,1000000,1009819,"Comedy,Drama,Romance",tt4379536,100.0
5253,54,2017-10-06,Visages villages,1000000,952432,,,
5254,55,2001-04-06,Brigham City,1000000,852206,,,
5255,56,2017-08-18,Patti Cake$,1000000,800148,"Drama,Music",tt6288250,109.0
5256,57,2000-12-01,Panic,1000000,779137,"Drama,Mystery,Thriller",tt2634438,85.0
5257,58,2014-05-09,Palo Alto,1000000,767732,Drama,tt2479800,100.0
5258,59,2000-09-08,Fiza,1000000,623791,,,
5259,60,2010-02-03,Ajami,1000000,621859,,,
5260,61,1998-10-23,Orgazmo,1000000,582024,,,
5261,62,2011-07-29,The Future,1000000,568662,"Drama,Fantasy,Romance",tt1235170,91.0
5262,63,2003-02-14,All the Real Girls,1000000,549666,,,
5263,64,2014-10-24,23 Blast,1000000,549185,"Drama,Family,Sport",tt2304459,98.0
5264,65,1997-06-20,Dream With The Fishes,1000000,542909,,,
5265,66,2013-07-19,The Act of Killing,1000000,486919,"Crime,Documentary",tt2375605,117.0
5266,67,2003-05-02,Blue Car,1000000,464126,,,
5267,68,2007-10-19,Wristcutters: A Love Story,1000000,446165,,,
5268,69,2000-05-05,Luminarias,1000000,428535,,,
5269,70,2014-07-18,I Origins,1000000,336472,"Drama,Romance,Sci-Fi",tt2884206,106.0
5270,71,2014-11-28,Antarctica: A Year on Ice,1000000,288757,"Adventure,Biography,Documentary",tt2361700,91.0
5271,72,2003-08-22,The Battle of Shaker Heights,1000000,280351,,,
5272,73,2008-01-18,Taxi to the Dark Side,1000000,274661,,,
5273,74,2016-04-08,The Invitation,1000000,231738,"Drama,Horror,Mystery",tt2400463,100.0
5274,75,2004-09-24,Guiana 1838,1000000,227241,,,
5275,76,2002-12-30,Love Liza,1000000,213137,,,
5276,77,2006-07-07,Once in a Lifetime: the Extraordinary Story of the New York Cosmos,1000000,144601,,,
5277,78,2001-08-22,Lisa Picard is Famous,1000000,113433,,,
5278,79,2015-07-31,Beyond the Brick: A LEGO Brickumentary,1000000,101531,,,
5279,80,2009-10-30,The House of the Devil,1000000,101215,,,
5280,81,2012-06-01,Hardflip,1000000,96734,"Action,Drama",tt1907639,112.0
5281,82,2016-03-11,Creative Control,1000000,63014,"Drama,Sci-Fi",tt3277624,97.0
5282,83,2005-09-16,Chocolate: Deep Dark Secrets,1000000,49000,,,
5283,84,2011-07-01,The Perfect Host,1000000,48764,"Comedy,Crime,Thriller",tt1334553,93.0
5284,85,1998-09-25,The Last Big Thing,1000000,22434,,,
5285,86,1998-08-07,Safe Men,1000000,21210,,,
5286,87,2001-08-31,Speedway Junky,1000000,17127,,,
5287,88,2015-02-13,Hits,1000000,15156,"Comedy,Drama",tt3145220,96.0
5288,89,2000-09-22,The Specials,1000000,12996,Comedy,tt8655470,
5289,90,2010-09-03,16 to Life,1000000,11574,,,
5290,91,2007-01-17,Alone with Her,1000000,10787,,,
5291,92,2014-10-17,Camp X-Ray,1000000,9837,"Drama,War",tt2994190,117.0
5292,93,2008-11-21,Special,1000000,7202,Drama,tt3869446,
5293,94,2015-04-10,The Sisterhood of Night,1000000,6870,"Drama,Mystery,Thriller",tt1015471,104.0
5294,95,1999-03-19,Sparkler,1000000,5494,,,
5295,96,2005-03-18,The Helixâ¦Loaded,1000000,3700,,,
5296,97,2015-05-15,Childless,1000000,1036,,,
5297,98,2006-04-21,In Her Line of Fire,1000000,884,,,
5298,99,2002-12-13,The Jimmy Show,1000000,703,,,
